作品名,映画ID,年,公開日,興収(億円),区分,配給会社,あらすじ,監督,脚本,キャスト,脚本家,プロデューサー,コピーライト,,,
ヒロイン失格,81710,2015,2015/9/19,24.3,邦画,WB,「別冊マーガレット」で連載され人気を博した幸田もも子の同名コミックを、「女子ーズ」「100回泣くこと」の桐谷美玲主演で実写映画化。幼なじみの同級生・寺坂利太に思いを寄せる女子高生の松崎はとりは、利太のヒロインは自分だとずっと思い続けてきた。ところがある日、利太が同じクラスの地味な女子・安達未帆に告白されて付きあうことに。意外な展開にはとりが焦りを感じる中、学校イチのモテ男・弘光廣祐がはとりに興味を抱きはじめる。主人公はとりに扮する桐谷が変顔やハゲヅラにも挑んだ。利太役は「L・DK」の山崎賢人、廣祐役は「海街diary」の坂口健太郎。監督は「ハンサム★スーツ」「高校デビュー」の英勉。,英勉,幸田もも子,"桐谷美玲, 山崎賢人, 坂口健太郎, 福田彩乃, 我妻三輪子, 高橋メアリージュン, 中尾彬, 柳沢慎吾, 六角精児, 濱田マリ, 竹内力",吉田恵里香,伊藤卓哉,(C)2015 映画「ヒロイン失格」製作委員会 (C)幸田もも子／集英社,,1,1
進撃の巨人 ATTACK ON TITAN エンド オブ ザ ワールド,81504,2015,2015/9/19,16.8,邦画,東宝,諫山創の大ヒットコミックを実写映画化した「進撃の巨人 ATTACK ON TITAN」2部作の後編。超大型巨人によって破壊された外壁の修復作戦に出発したエレンたち調査兵団は、巨人の襲撃によって窮地に陥る。エレンも深手を負った上に、仲間のアルミンをかばって巨人に飲み込まれてしまい、その場にいた誰もが絶望の淵に立たされる。しかしその時、謎の黒髪の巨人が現れ、他の巨人たちを駆逐しはじめる。監督は「のぼうの城」の樋口真嗣が務め、「ローレライ」「戦国自衛隊1549」「のぼうの城」など数々の作品で特撮技術を支えてきた尾上克郎が特撮監督として参加。主演は三浦春馬で、共演に長谷川博己、水原希子、本郷奏多ら。脚本を「GANTZ」シリーズの渡辺雄介と映画評論家の町山智浩が担当。,樋口真嗣,諫山創,"三浦春馬, 長谷川博己, 水原希子, 本郷奏多, 三浦貴大, 桜庭ななみ, 松尾諭, 渡部秀, 水崎綾女, 武田梨奈, 石原さとみ, ピエール瀧, 國村隼, 草なぎ剛, 緒川たまき, KREVA",渡辺雄介,佐藤善宏,(C)2015 映画「進撃の巨人」製作委員会(C)諫山創／講談社,,1,1
心が叫びたがってるんだ。,81471,2015,2015/9/19,11.2,邦画,アニプレックス,人気アニメ「あの花」こと「あの日見た花の名前を僕達はまだ知らない。」の監督：長井龍雪×脚本：岡田磨里×キャラクターデザイン：田中将賀が再結集したオリジナル劇場用アニメーション。「あの花」同様の埼玉県秩父市を舞台とした青春群像劇で、少年少女の心の傷や葛藤、切なさを描く。あることをうっかり話してしまったため家族がバラバラになり、突然現れた玉子の妖精に「二度と人を傷つけないように」とおしゃべりを封印されてしまった少女・成瀬順。もともとは元気な女の子だったが、その事件がトラウマとなり、ずっと目立たないように静かに生きてきた。そんな順が「地域ふれあい交流会」の実行委員に任命され、ミュージカルの主役にも選ばれてしまい……。,長井龍雪,超平和バスターズ,"水瀬いのり, 内山昂輝, 雨宮天, 細谷佳正, 藤原啓治, 吉田羊, 村田太志, 高橋李依, 石上静香, 大山鎬則, 古川慎, 津田英三, 宮沢きよこ, 野島裕史, 河西健吾, 柳田淳一, 手塚ヒロミチ, 葉山いくみ, 加隈亜衣, 天崎滉平, 田澤茉純, 西谷修一, 山下誠一郎, 芳野由奈, 諏訪彩花, 東内マリ子, 木村珠莉, 榎木淳弥, 木島隆一, 久保ユリカ, 前川涼子, 石谷春貴, 三宅麻理恵",岡田麿里,斎藤俊輔,(C)KOKOSAKE PROJECT,,1,1
天空の蜂,80517,2015,2015/9/12,10.8,邦画,松竹,ベストセラー作家の東野圭吾が1995年に発表した同名小説を、「SPEC」「20世紀少年」など話題作を多数手がける堤幸彦監督が映画化したサスペンス大作。主演の江口洋介と本木雅弘が初共演し、史上最悪の原発テロ事件解決に向けて奔走する人々の8時間のドラマを描いた。95年8月8日、自衛隊用の最新大型ヘリコプター「ビッグB」が何者かにより遠隔操作されて動き出し、福井県にある原子力発電所「新陽」の真上に静止する。犯人は「天空の蜂」と名乗り、国内すべての原発を廃棄するよう要求。従わなければ爆発物が搭載された「ビックB」を原発に墜落させると宣言する。「ビッグB」を開発した設計士の湯原と、原発の設計士・三島は、事件解決のために力を尽くすが……。,堤幸彦,東野圭吾,"江口洋介, 本木雅弘, 仲間由紀恵, 綾野剛, 柄本明, 國村隼, 石橋蓮司, 竹中直人, 向井理, 佐藤二朗, 光石研, 落合モトキ, やべきょうすけ, 手塚とおる, 永瀬匡, 石橋けい, 松島花, カゴシマジロー, 前川泰之, 松田悟志, 森岡豊, 田口翔大",楠野一郎,,(C)2015「天空の蜂」製作委員会,,1,1
ピクセル,80679,2015,2015/9/12,10.6,洋画,SPE,人気ゲームのキャラクターに変身して侵略してきた宇宙人に対し、地球の危機を救うためゲームオタクたちが立ち上がる姿を描いた異色のディザスターパニック映画。監督は「ハリー・ポッター」シリーズのクリス・コロンバス。パックマン、ドンキーコング、ギャラガ、スペースインベーダーなど、日本生まれのゲームキャラクターも多数登場する。30数年前、宇宙人との交流を夢見てNASAが宇宙に向けて発信した映像の中には、当時大流行していたゲームの映像が含まれていた。ところが、その映像を受信した宇宙人が、友好のメッセージではなく挑戦状だと勘違い。地球が発信したゲームのキャラクターに扮して、現代の地球を侵略してくる。触れたものを全てピクセル化してしまう能力をもった宇宙人にアメリカ軍も歯が立たず、人類は危機に陥るが、ゲームオタクたちが宇宙人の弱点を見抜く。,クリス・コロンバス,パトリック・ジーン,"アダム・サンドラー, ケビン・ジェームズ, ミシェル・モナハン, ピーター・ディンクレイジ, ジョシュ・ギャッド, ブライアン・コックス, ダン・エイクロイド, アシュリー・ベンソン, デニス・アキヤマ, マシュー・リンツ, ショーン・ビーン, ジェーン・クラコウスキー, アフィオン・クロケット, レイニー・カザン, トーマス・マッカーシー, セリーナ・ウィリアムズ, マーサ・スチュワート, ジャッキー・サンドラー, ジャレッド・サンドラー, セイディ・サンドラー",ティム・ハーリヒー,,,,1,1
アンフェア the end,81735,2015,2015/9/5,23.6,邦画,東宝,篠原涼子主演の人気ドラマ「アンフェア」の4年ぶりとなる劇場版3作目で、シリーズの完結編。国家を裏で操る権力組織から機密データを手に入れることに成功した警視庁捜査一課刑事・雪平夏見は、ある人物の転落死亡現場で「アンフェアなのは誰か？」という一枚の栞を見つける。それは、10年前の「推理小説事件」から始まる一連の事件で使用されたものと同一の栞だった。さらに、事件の犯人たちを結びつけていた「×サイト」も復活していたことが判明。やがて雪平を巻き込む新たな事件が発生するが、雪平は亡き父が目指した警察内部の浄化を成し遂げるため奔走する。監督・脚本はドラマ版、映画版にも携わってきた佐藤嗣麻子が担当。,佐藤嗣麻子,秦建日子,"篠原涼子, 永山絢斗, 阿部サダヲ, 加藤雅也, 向井地美音, 吉田鋼太郎, AKIRA, 寺島進, 佐藤浩市",佐藤嗣麻子,豊福陽子,(C)2015 関西テレビ放送／フジテレビジョン／ジャパン・ミュージックエンターテインメント／東宝／共同テレビジョン,,1,1
テッド２,81185,2015,2015/8/28,25.1,洋画,東宝東和,冴えない中年男ジョンと下品で過激なテディベアのテッドのコンビが繰り広げる騒動を描き、全米はもとより日本でも興行収入42.3億円の大ヒットとなった「テッド」（2012）の続編。バイト先で知り合った彼女タミ・リンと結婚したテッドは、子どもが欲しいと思うようになるが、子作りのために自分が人間であるということを証明しなければならなくなる。困ったテッドは美人弁護士サマンサにを雇い、法廷に乗り込むのだが……。監督、脚本およびテッドの声を担当するのは、前作同様のセス・マクファーレン。ジョン役のマーク・ウォールバーグも続投し、サマンサ役でアマンダ・セイフライドが新たに出演。R15＋指定の通常版に加えて、セリフの表現や一部シーンを再編集してPG12指定にした「大人になるまで待てない！」バージョンも公開（通常版は2015年8月28日公開／PG12版は同年9月12日から公開）。,セス・マクファーレン,,"マーク・ウォールバーグ, セス・マクファーレン, アマンダ・セイフライド, ジェシカ・バース, ジョバンニ・リビシ, モーガン・フリーマン, ジョン・スラッテリー, サム・ジョーンズ, マイケル・ドーン, ビル・スミトロビッチ, ジョン・キャロル・リンチ, ロン・カナダ, デニス・ヘイスバート, トム・ブレイディ, ジェイ・レノ, ジミー・キンメル, ケイト・マッキノン, リーアム・ニーソン",セス・マクファーレン,,(C)Tippett Studio/Universal Pictures and Media Rights Capital(C)Universal Pictures and Media Rights Capital,,1,1
日本のいちばん長い日,81487,2015,2015/8/8,13.2,邦画,アスミック・エース、松竹,昭和史研究の第一人者・半藤一利の傑作ノンフィクション「日本のいちばん長い日　決定版」を、「クライマーズ・ハイ」「わが母の記」の原田眞人監督が映画化。1945年8月15日に玉音放送で戦争降伏が国民に知らされるまでに何があったのか、歴史の舞台裏を描く。太平洋戦争末期の45年7月、連合国軍にポツダム宣言受諾を要求された日本は降伏か本土決戦かに揺れ、連日連夜の閣議で議論は紛糾。結論の出ないまま広島、長崎に相次いで原子爆弾が投下される。一億玉砕論も渦巻く中、阿南惟幾陸軍大臣や鈴木貫太郎首相、そして昭和天皇は決断に苦悩する。出演は阿南惟幾役の役所広司、昭和天皇役の本木雅弘をはじめ、松坂桃李、堤真一、山崎努ら。,原田眞人,半藤一利,"役所広司, 本木雅弘, 松坂桃李, 堤真一, 山崎努, 神野三鈴, 蓮佛美沙子, 大場泰正, 小松和重, 中村育二, 山路和弘, 金内喜久夫, 鴨川てんし, 久保耐吉, 奥田達士, 嵐芳三郎, 井之上隆志, 木場勝己, 中嶋しゅう, 麿赤兒, 戸塚祥太, 田中美央, 関口晴雄, 田島俊弥, 茂山茂, 植本潤, 宮本裕子, 戸田恵梨香, キムラ緑子, 野間口徹, 池坊由紀, 松山ケンイチ, 戸塚祥太",原田眞人,榎望,(C)2015「日本のいちばん長い日」製作委員会,,1,1
ミッション：インポッシブル／ローグ・ネイション,80973,2015,2015/8/7,51.4,洋画,PPJ,"トム・クルーズの代名詞ともいえる大ヒットスパイアクション「ミッション：インポッシブル」のシリーズ第5作。

CIAやKGBをはじめとする各国の元エリート諜報部員が結成した無国籍スパイ組織「シンジケート」の暗躍により、イーサン・ハントの所属するIMFはまたも解体の危機に陥る。組織の後ろ盾を失いながらも、イーサンは仲間とともに世界の危機を救うため史上最難関のミッションに挑む。

約1500メートルの上空を飛ぶ軍用機のドア外部から機内に侵入するというアクションを、クルーズがスタントなしで演じているシーンが撮影時から話題に。監督は、クルーズ主演の「アウトロー」も手がけたクリストファー・マッカリー。共演はシリーズ出演3作目となるサイモン・ペッグ、前作から登場したジェレミー・レナー、シリーズ全作出演のビング・レイムスほか、新ヒロインとしてスウェーデン出身のレベッカ・ファーガソンが参戦。",クリストファー・マッカリー,ブルース・ゲラー,"トム・クルーズ, ジェレミー・レナー, サイモン・ペッグ, レベッカ・ファーガソン, ビング・レイムス, ショーン・ハリス, アレック・ボールドウィン, サイモン・マクバーニー, トム・ホランダー, イエンス・フルテン",クリストファー・マッカリー,,(C)2015 Paramount Pictures. All Rights Reserved.,,1,1
BORUTO -NARUTO THE MOVIE-,81503,2015,2015/8/7,26.2,邦画,東宝,岸本斉史の大ヒットコミック「NARUTO」の主人公ナルトの息子ボルトが活躍する劇場版アニメ。2014年11月の原作コミック連載終了後、同年12月に公開された劇場版前作「THE LAST NARUTO THE MOVIE」から始まった「NARUTO新時代開幕プロジェクト」の集大成との位置付けで製作された劇場版で、原作者の岸本が自ら脚本、キャラクターデザイン、製作総指揮も担当。ナルトの親友サスケの娘サラダも登場し、親子2代の物語がつむがれる。七代目火影である英雄ナルトが守る木ノ葉隠れの里。ナルトの息子ボルトは家族とともに過ごす時間のない父親に対するさみしさから、いつしか父ナルトを忌み嫌うようになる。そして、父親の弱点を探ろうと、「ナルトの唯一のライバル」と言われるサスケに弟子入りを願う。,山下宏幸,岸本斉史,"三瓶由布子, 菊池こころ, 竹内順子, 杉山紀彰, 木島隆一, 阿部敦, 小野賢章, 早見沙織, 浪川大輔, 安元洋貴, 竹内良太, 石田彰, 宮田幸季, 武田華",岸本斉史,,(C)岸本斉史 スコット／集英社・テレビ東京・ぴえろ(C)劇場版BORUTO製作委員会 2015,,1,1
ジュラシック・ワールド,103408,2015,2015/8/5,95.3,洋画,東宝東和,"1993年にスティーブン・スピルバーグが生み出した第1作「ジュラシック・パーク」から始まり、これまでのシリーズ6作がいずれも大ヒットを記録してきた「ジュラシック」シリーズの通算7作目。スカーレット・ヨハンソンら新たな顔ぶれのキャストで、前作「ジュラシック・ワールド　新たなる支配者」から5年後を舞台に、新章の幕が開ける。

熟練の特殊工作員ゾーラ・ベネットは、信頼する傭兵のダンカン・キンケイド、古生物学者のヘンリー・ルーミス博士らとともに、初代「ジュラシック・パーク」の極秘研究施設が存在した禁断の島へ足を踏み入れる。そこはかつてパークの所有者が極秘の実験を行い、“最悪の種”と言われる20数種の恐竜が生き残った、地球上で最も危険な場所だった。ゾーラたちの任務は、心臓病に奇跡的な治療効果をもたらす新薬の開発に不可欠な、陸・海・空の3大恐竜のDNAを確保すること。ゾーラたちは恐竜の脅威に立ち向かいながら、任務遂行のために歩みを進めていくが……。

監督は「ローグ・ワン　スター・ウォーズ・ストーリー」「ザ・クリエイター　創造者」のギャレス・エドワーズ。製作総指揮をスティーブン・スピルバーグが務め、脚本は「ジュラシック・パーク」「ロスト・ワールド　ジュラシック・パーク」のデビッド・コープが28年ぶりにシリーズに復帰。シリーズ初の女性主人公となるゾーラをスカーレット・ヨハンソンが演じ、マハーシャラ・アリ、ジョナサン・ベイリー、ルパート・フレンドらが共演する。",ギャレス・エドワーズ,,"スカーレット・ヨハンソン, マハーシャラ・アリ, ジョナサン・ベイリー, ルパート・フレンド, マヌエル・ガルシア＝ルルフォ, ルナ・ブレイズ, デビッド・ヤーコノ, オードリナ・ミランダ, フィリッピーヌ・ベルジュ, ベシル・シルバン, エド・スクライン",デビッド・コープ,,(C)2025 Universal Studios. All Rights Reserved.,,1,1
進撃の巨人 ATTACK ON TITAN,57328,2015,2015/8/1,32.5,邦画,東宝,既刊16巻が全世界累計5000万部という諫山創の大ヒットコミック「進撃の巨人」を実写映画化した2部作「進撃の巨人 ATTACK ON TITAN」の前編。「のぼうの城」「巨神兵東京に現わる」「日本沈没」の樋口真嗣監督がメガホンをとり、脚本には原作者の諫山とも交流のある映画評論家の町山智浩が参加。三浦春馬を主演に、長谷川博己、水原希子、石原さとみら豪華キャストが出演している。100年以上前、突如現れた巨人たちに人類の大半が捕食され、文明は崩壊。生き延びた人々は巨大な壁を三重に築き、その中で暮らしていた。壁に守られた安寧とした生活に苛立ちを覚えるエレンは、まだ見ぬ外の世界を夢見ていたが、ある時、そんなエレンの目の前に人類の想定を超える超大型巨人が出現。壁の一部を破壊し、そこから巨人たちが町になだれ込んでくる。次々と巨人が人間を食らう地獄をからくも生き延びたエレンは、2年後、対巨人兵器の立体機動装置で武装した調査兵団の一員になっていた。調査兵団は壊された壁の修復作戦を決行するが……。,樋口真嗣,諫山創,"三浦春馬, 長谷川博己, 水原希子, 本郷奏多, 三浦貴大, 桜庭ななみ, 松尾諭, 渡部秀, 水崎綾女, 武田梨奈, 石原さとみ, ピエール瀧, 國村隼, 高橋みなみ, KREVA",渡辺雄介,佐藤善宏,(C)2015 映画「進撃の巨人」製作委員会(C)諫山創／講談社,,1,1
ミニオンズ,81184,2015,2015/7/31,52.1,洋画,東宝東和,ユニバーサル・スタジオ製作の大ヒットアニメ「怪盗グルー」シリーズに登場する人気キャラクター、ミニオンたちを主役に描いた作品。人類より遥か以前から誕生していた黄色い生物ミニオンは、その時代で最も強いボスに仕えるという習性をもっていた。しかし、いつも失敗ばかりで長続きせず、やがて仕えるボスがいなくなってしまう。生きる目的を失い、一族に滅亡の危機が迫るなか、兄貴肌のケビン、バナナのことで頭がいっぱいのスチュアート、そして弱虫のボブが新たな最強のボスを探す旅に出る。やがて世界中から悪党の集まる大悪党祭りの会場にたどり着いた3人は、そこで世界初の女悪党スカーレット・オーバーキルに出会う。,"ピエール・コフィン, カイル・バルダ",,"スティーブ・カレル, サンドラ・ブロック, ジョン・ハム, マイケル・キートン, アリソン・ジャネイ, スティーブ・クーガン, 天海祐希, 設楽統, 日村勇紀, 宮野真守, 藤田彩華, LiSA, 山寺宏一, 笑福亭鶴瓶",ケン・ダウリオ,,(C)2015 Universal Pictures.,,1,1
HERO,81439,2015,2015/7/18,46.7,邦画,東宝,型破りな検察官・久利生公平が活躍する木村拓哉主演の人気ドラマ「HERO」の8年ぶりとなる劇場版第2作。2014年に放送されたシーズン2のレギュラーキャストがそのまま出演するほか、シーズン1のヒロイン・雨宮舞子を演じた松たか子が8年ぶりに同役で復帰を果たす。ネウストリア大使館の裏通りで女性が車にはねられて死亡し、東京地検城西支部の検事・久利生は事務次官の麻木千佳とともに事故を起こした運転手を取り調べる。そんな2人の前に、かつて久利生の事務官を務めていた雨宮舞子が現れる。死亡した女性が、大阪で検事として活躍している雨宮の追っていた事件の重要な証人だったことから、久利生と雨宮は事件の裏に何かがあると感じ、合同で捜査を開始する。,鈴木雅之,,"木村拓哉, 北川景子, 松たか子, 佐藤浩市, 杉本哲太, 濱田岳, 正名僕蔵, 吉田羊, 田中要次, 勝矢, 松重豊, 八嶋智人, 小日向文世, 角野卓造, 大倉孝二, ジェームズ・C・バーンズ, 森カンナ, 児嶋一哉, 新井浩文, イッセー尾形",福田靖,渡辺恒也,(C)2015フジテレビジョン　ジェイ・ドリーム　東宝　FNS27社,,3,1
インサイド・ヘッド,79352,2015,2015/7/18,40.4,洋画,WDS,人間が抱く「感情」を主人公に描いたピクサー・アニメーションの長編作品。監督を「カールじいさんの空飛ぶ家」「モンスターズ・インク」のピート・ドクターが務め、第88回アカデミー賞で長編アニメーション賞を受賞した。ミネソタの田舎町で明るく幸せに育った少女ライリーは、父親の仕事の都合で都会のサンフランシスコに引っ越してくる。新しい生活に慣れようとするライリーを幸せにしようと、彼女の頭の中の司令部では「ヨロコビ」「カナシミ」「イカリ」「ムカムカ」「ビビリ」の5つの感情が奮闘していた。しかし、ある時、カナシミがライリーの大切な思い出を悲しい思い出に変えてしまう。慌てて思い出を元通りにしようとしたヨロコビだったが、誤ってカナシミと一緒に司令部の外に放りだされてしまう。ヨロコビは急いで司令部に戻ろうと、ライリーの頭の中を駆けめぐるのだが……。,ピート・ドクター,"ピート・ドクター, ロニー・デル・カルメン","エイミー・ポーラー, フィリス・スミス, リチャード・キング, ビル・ヘイダー, ルイス・ブラック, ミンディ・カリング, ケイトリン・ディアス, ダイアン・レイン, カイル・マクラクラン, ポーラ・パウンドストーン, ボビー・モイニハン, ポーラ・ペル, デイブ・ゴールズ, フランク・オズ, ジョシュ・クーリー, フリー, ジョン・ラッツェンバーガー, カルロス・アラズラキ, ピーター・セイガル, ラシダ・ジョーンズ, 竹内結子, 大竹しのぶ, 佐藤二朗, 浦山迅, 小松由佳, 落合弘治, 伊集院茉衣, 花輪英司, 田中敦子",ピート・ドクター,,(C)2015 Disney/Pixar. All Rights Reserved.,,1,1
ポケモン・ザ・ムービーXY 光輪の超魔神フーパ,81502,2015,2015/7/18,26.1,邦画,東宝,人気アニメ「ポケットモンスター」劇場版の通算18作目で、2013年からスタートした「ポケットモンスターXY」シリーズの劇場版第2弾。ルギア、ラティオス＆ラティアス、レシラム＆ゼクロム、キュレムなど、過去の劇場版「ポケモン」シリーズに登場した伝説のポケモンが多数登場し、戦いを繰り広げる。旅の途中で「あらゆるものを取り出すことができるリング」を持つ幻のポケモン、フーパと出会ったサトシとピカチュウたち。一緒に旅をすることになった一行は、砂漠の街「デセルシティ」にたどり着く。しかし、そこで100年前に街を破壊したポケモンを封じ込めていた「いましめのツボ」の封印が解かれてしまい、邪気をまとった伝説のポケモンが復活。街を守るため、フーパも自身のリングを使って伝説のポケモンを呼び寄せる。短編「ピカチュウとポケモンおんがくたい」が同時上映。,湯山邦彦,田尻智,"松本梨香, 大谷育江, 牧口真幸, 梶裕貴, 伊瀬茉莉也, 林原めぐみ, 三木眞一郎, 犬山イヌコ, 釘宮理恵, 藤原竜也, 山寺宏一, 中川翔子, 篠原信一",冨岡淳広,下平聡士,(C)Nintendo・Creatures・GAME FREAK・TV Tokyo・ShoPro・JR Kikaku(C)Pokemon (C)2015 ピカチュウプロジェクト,,1,1
バケモノの子,81500,2015,2015/7/11,58.5,邦画,東宝,「おおかみこどもの雨と雪」の細田守監督が同作以来3年ぶりに送り出すオリジナル長編アニメーション。渋谷の街とバケモノたちが住まう「渋天街（じゅうてんがい）」という2つの世界を交錯させながら、バケモノと少年の奇妙な師弟関係や親子の絆を描く。脚本も細田監督が自ら手がけ、声優には、渋天街のバケモノ・熊徹に役所広司、人間界の渋谷から渋天街に迷い込み、熊徹の弟子となって九太という名前を授けられる主人公の少年に宮崎あおい（少年期）と染谷将太（青年期）、ヒロインとなる少女・楓に広瀬すずと豪華キャストが集結している。第39回日本アカデミー賞の最優秀アニメーション作品賞を受賞。,細田守,細田守,"役所広司, 宮崎あおい, 染谷将太, 広瀬すず, 山路和弘, 宮野真守, 山口勝平, 黒木華, 大野百花, 諸星すみれ, 長塚圭史, 麻生久美子, 津川雅彦, リリー・フランキー, 大泉洋, 中村正, 沼田爆, 草村礼子, 近石真介, 桝太一, 郡司恭子, 秋月成美, 石上静香, 井上肇, 岩崎ひろし, 宇梶剛士, 牛山茂, 宇山玲加, 大出菜々子, 大西礼芳, 小川ガオ, 小栗旬, 尾崎右宗, 各務立基, 加藤裕, 木村聖哉, 栗原卓也, 桑原裕子, 虎島貴明, 小林直人, 小林正寛, 小林里乃, 斉藤一平, 佐々木勝彦, 佐原誠, 清水一彰, 杉野なつ美, 瀬戸麻沙美, 高橋伸也, 田中要次, 谷村美月, 長克巳, 出口哲也, 戸井勝海, 土井玲奈, 徳本英一郎, 戸田めぐみ, 中澤健太郎, 中島広稀, 中根久美子, 野口真緒, 蓮岳大, 原扶貴子, 藤原希, 堀田勝, M・A・O, 松本花奈, 丸山優子, 水澤紳吾, 水野智則, 三井理陽, 三宅麻理恵, 武藤心平, 最上嗣生, 森史絵, 山形匠, 山本兼平, 悠木碧, 結城さなえ, 李千鶴",細田守,齋藤優一郎,(C)2015 THE BOY AND THE BEAST FILM PARTNERS,,1,1
ターミネーター：新起動／ジェニシス,80340,2015,2015/7/10,27.4,洋画,PPJ,アーノルド・シュワルツェネッガー主演の人気SFアクション「ターミネーター」のシリーズ5作目。2003年の「ターミネーター3」以来12年ぶりにシュワルツェネッガーがシリーズに復帰し、T-800型ターミネーターを演じる。未来の人類反乱軍のリーダーであるジョン・コナーの母サラ・コナーを歴史から抹消するため、未来から殺戮マシーンのターミネーター「T-800」が送り込まれる。しかし、そこには老いた姿の同型ターミネーターが待ち受けていた。サラ・コナー役は「ゲーム・オブ・スローンズ」でブレイクしたエミリア・クラーク、カイル・リース役は「ダイ・ハード　ラスト・デイ」のジェイ・コートニー、ジョン・コナー役は「猿の惑星：新世紀（ライジング）」のジェイソン・クラークと、おなじみのキャラクターたちが新キャストで描かれる。監督は「マイティ・ソー　ダーク・ワールド」のアラン・テイラー。,アラン・テイラー,,"アーノルド・シュワルツェネッガー, ジェイソン・クラーク, エミリア・クラーク, ジェイ・コートニー, J・K・シモンズ, ダイオ・オケニイ, マット・スミス, コートニー・B・バンス, イ・ビョンホン, マイケル・グラディス, サンドリーヌ・ホルト, ウェイン・バストラップ, グレッグ・アラン・ウィリアムズ, オットー・サンチェス, マティ・フェラーロ, グリフ・ファースト, ブライアント・プリンス",レータ・カログリディス,,(C)2015 Paramount Pictures. All Rights Reserved.,,1,1
アベンジャーズ／エイジ・オブ・ウルトロン,77790,2015,2015/7/4,32.1,洋画,WDS,「アイアンマン」「キャプテン・アメリカ」「マイティ・ソー」などマーベルコミック原作の人気作品から各ヒーローが集結し、世界的大ヒットを記録した「アベンジャーズ」（2012）の続編。アイアンマンとして何度も人類の危機を救い、だからこそアベンジャーズの限界を誰よりも強く知るトニー・スタークは、自分たちの手に負えない敵の襲来に備え、禁断の平和維持システムである人工知能「ウルトロン」を起動させる。しかし、ウルトロンは「究極の平和」を実現するため、平和を脅かす唯一の存在である人類の抹消を選択する。再び訪れた人類滅亡の危機に、アベンジャーズは人知を超えたウルトロンを相手に戦うことになるが……。前作に続いてジョス・ウェドンが監督、脚本を手がけ、アイアンマン＝トニー・スターク役のロバート・ダウニー・Jr.ら主要キャストも引き続き出演。,ジョス・ウェドン,,"ロバート・ダウニー・Jr., クリス・ヘムズワース, マーク・ラファロ, クリス・エバンス, スカーレット・ヨハンソン, ジェレミー・レナー, ドン・チードル, アーロン・テイラー＝ジョンソン, エリザベス・オルセン, ポール・ベタニー, コビー・スマルダース, アンソニー・マッキー, ヘイリー・アトウェル, イドリス・エルバ, ステラン・スカルスガルド, ジェームズ・スペイダー, サミュエル・L・ジャクソン, リンダ・カーデリニ, クローディア・キム, トーマス・クレッチマン, アンディ・サーキス, ジュリー・デルピー, ケリー・コンドン",ジョス・ウェドン,,(C)Marvel 2015,,1,1
マッドマックス 怒りのデス･ロード,78097,2015,2015/6/20,18.1,洋画,WB,荒廃した近未来を舞台に妻子を殺された男マックスの復讐劇を描いた「マッドマックス」（1979）のシリーズ第4作。85年の「マッドマックス　サンダードーム」以来30年ぶりの新作となり、監督・脚本は過去3作同様にジョージ・ミラーが担当。過去3作でメル・ギブソンが扮した主人公マックスを、新たに「ダークナイト ライジング」「インセプション」のトム・ハーディが演じた。資源が枯渇し、法も秩序も崩壊した世界。愛する者を奪われ、荒野をさまようマックスは、砂漠を支配する凶悪なイモータン・ジョーの軍団に捕らえられる。そこへジョー配下の女戦士フュリオサらが現れ、マックスはジョーへの反乱を計画する彼らと力をあわせ、自由への逃走を開始する。フュリオサ役でシャーリーズ・セロンが共演。第88回アカデミー賞では作品賞、監督賞ほか10部門でノミネートを受け、編集、美術、衣装デザイン、音響編集、録音、メイクアップ＆ヘアスタイリングの合計6部門で受賞を果たし、同年度では受賞数最多作品となった。,ジョージ・ミラー,,"トム・ハーディ, シャーリーズ・セロン, ニコラス・ホルト, ヒュー・キース＝バーン, ゾーイ・クラビッツ, ロージー・ハンティントン＝ホワイトレイ, ライリー・キーオ, アビー・リー, コートニー・イートン, ジョシュ・ヘルマン, ネイサン・ジョーンズ, ジョン・ハワード, リチャード・カーター, アンガス・サンプソン, メリッサ・ジャファー, ジェニファー・ヘイガン",ジョージ・ミラー,,(C)2015 VILLAGE ROADSHOW FILMS (BVI) LIMITED,,1,1
ラブライブ！The School Idol Movie,81544,2015,2015/6/13,28.4,邦画,松竹,"2013年1～3月にテレビシリーズ第1期、14年4～6月に第2期が放送されたアニメのほか、アイドルグループ「μ's（ミューズ）」によるCDリリース、ライブイベントなど、さまざまなメディアで展開し、大きな人気を集めた「ラブライブ！」の劇場版。

廃校の危機にある国立音ノ木坂学院を救うため、2年生の高坂穂乃果をはじめとする9人の女子生徒たちで結成されたスクールアイドルグループ「μ's（ミューズ）」。その活躍で廃校の危機を救い、スクールアイドルの祭典「ライブラブ！」第2回大会では決勝戦進出も果たした彼女たちは、3年生の卒業をもって「μ's」の活動を終了すると決めていた。しかし、卒業式直後に届いたある知らせをきっかけに、「μ's」は新たなライブをすることに。限られた時間の中で、9人はまた少し成長していく。

2024年3月には4DX版が2週間限定上映。",京極尚彦,矢立肇,"新田恵海, 南條愛乃, 内田彩, 三森すずこ, 飯田里穂, Pile, 楠田亜衣奈, 久保ユリカ, 徳井青空",花田十輝,,(C)2015 プロジェクトラブライブ！ムービー,,1,1
